Name,Price,Image URL,Product URL
"WEYON 32"" Inches LED TV  +1 Years Warranty - Black","₦ 53,990",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/467099/1.jpg?7682,http://jumia.com.ng//weyon-32-inches-led-tv-1-years-warranty-black-99076455.html
Rechargeable Vintage Cordless Professional Hair Clippers/Beard Trimmer,"₦ 7,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/722738/1.jpg?4816,http://jumia.com.ng//generic-rechargeable-vintage-cordless-professional-hair-clippersbeard-trimmer-83722731.html
"Infinix Hot 11S, 6.7"" IPS LCD Screen, 4GB/64GB Memory, 50MP Triple Camera, 5000 mAh Battery, Android 11 - Green Wave","₦ 95,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5877411/1.jpg?1130,http://jumia.com.ng//infinix-hot-11s-6.7-ips-lcd-screen-4gb64gb-memory-50mp-triple-camera-5000-mah-battery-android-11-green-wave-114778541.html
Haier Thermocool Tundra Air Conditioner (1HP) HSU-09TESN-01,"₦ 139,532",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/0104011/1.jpg?2513,http://jumia.com.ng//haier-thermocool-tundra-air-conditioner-1hp-hsu-09tesn-01-110401031.html
"Samsung Galaxy A13, 4GB/128GB Memory - Black","₦ 108,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7727521/1.jpg?4207,http://jumia.com.ng//samsung-galaxy-a13-4gb128gb-memory-black-125727739.html
Haier Thermocool 100 Litres Chest Freezer HTF-100 - White,"₦ 115,960",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/4243011/1.jpg?4654,http://jumia.com.ng//haier-thermocool-100-litres-chest-freezer-htf-100-white-110342431.html
Nexus NX-100 LITRE NEXUS FRIDGE -  SILVER,"₦ 75,600",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/557279/1.jpg?5774,http://jumia.com.ng//nexus-nx-100-litre-nexus-fridge-silver-97275515.html
Haier Thermocool 150 Litres(146L Storage volume) Chest Freezer (HTF-150) -White,"₦ 136,990",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/7813011/1.jpg?3010,http://jumia.com.ng//haier-thermocool-150-litres146l-storage-volume-chest-freezer-htf-150-white-110318763.html
Nexus 1Hp Split Air Conditioner with full installation Kit -  R410 GAS,"₦ 132,300",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/1243821/1.jpg?0470,http://jumia.com.ng//nexus-1hp-split-air-conditioner-with-full-installation-kit-r410-gas-128342129.html
Scanfrost SFWM TTA (6.5kg) Twin Tub Semi-Automatic Washing Machine - White..,"₦ 81,120",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/1802/1.jpg?4725,http://jumia.com.ng//sfwm-tta-6.5kg-twin-tub-semi-automatic-washing-machine-white-scanfrost-mpg155559.html
Nexus Single Door Fridge NX-65 Silver,"₦ 52,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/5537011/1.jpg?9663,http://jumia.com.ng//nexus-single-door-fridge-nx-65-silver-110735586.html
Nokia Power Earbuds lite Black,"₦ 13,950",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/998869/1.jpg?1848,http://jumia.com.ng//nokia-power-earbuds-lite-black-96889960.html
Scanfrost 32 Inch Classic LED TV - SFLED32CL,"₦ 67,200",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/9387601/1.jpg?5768,http://jumia.com.ng//scanfrost-32-inch-classic-led-tv-sfled32cl-106783936.html
